iter	Passed	Remaining
0	58	58822
1	58	29433
2	59	19631
3	59	14728
4	59	11787
5	59	9827
6	59	8426
7	59	7377
8	59	6559
9	59	5906
10	59	5372
11	59	4925
12	59	4548
13	59	4224
14	60	3944
15	60	3699
16	60	3483
17	60	3290
18	60	3118
19	60	2963
20	60	2823
21	60	2696
22	60	2580
23	60	2473
24	60	2374
25	60	2283
26	61	2200
27	61	2122
28	61	2049
29	61	1982
30	61	1919
31	61	1859
32	61	1804
33	61	1751
34	61	1701
35	61	1655
36	61	1610
37	61	1568
38	62	1529
39	62	1491
40	62	1455
41	62	1420
42	62	1388
43	62	1357
44	62	1327
45	62	1298
46	62	1271
47	62	1244
48	62	1220
49	62	1195
50	63	1172
51	63	1150
52	63	1128
53	63	1108
54	63	1088
55	63	1069
56	63	1051
57	63	1033
58	63	1015
59	63	999
60	63	983
61	63	967
62	64	952
63	64	937
64	64	923
65	64	909
66	64	896
67	64	883
68	64	870
69	64	858
70	64	846
71	64	834
72	64	823
73	64	812
74	64	801
75	65	791
76	65	781
77	65	771
78	65	761
79	65	752
80	65	743
81	65	734
82	65	725
83	65	716
84	65	708
85	65	700
86	66	692
87	66	684
88	66	677
89	66	669
90	66	662
91	66	656
92	66	650
93	66	643
94	66	637
95	67	631
96	67	625
97	67	619
98	67	613
99	67	608
100	67	602
101	67	597
102	68	592
103	68	587
104	68	582
105	68	577
106	68	572
107	68	567
108	68	563
109	69	558
110	69	553
111	69	549
112	69	544
113	69	540
114	69	536
115	69	531
116	69	527
117	70	523
118	70	519
119	70	515
120	70	511
121	70	507
122	70	503
123	70	500
124	70	496
125	71	493
126	71	489
127	71	486
128	71	482
129	71	479
130	71	476
131	71	473
132	72	469
133	72	466
134	72	463
135	72	460
136	72	457
137	72	454
138	72	451
139	73	448
140	73	445
141	73	442
142	73	439
143	73	437
144	74	439
145	74	437
146	74	434
147	75	431
148	75	429
149	75	426
150	75	423
151	75	421
152	75	418
153	75	416
154	75	413
155	76	411
156	76	409
157	76	406
158	76	404
159	76	402
160	76	400
161	77	398
162	77	396
163	77	394
164	77	392
165	77	389
166	77	388
167	78	386
168	78	384
169	78	382
170	78	380
171	78	378
172	78	376
173	78	374
174	79	372
175	79	370
176	79	368
177	79	365
178	79	363
179	79	361
180	79	359
181	79	357
182	79	355
183	79	353
184	79	351
185	79	349
186	79	347
187	80	345
188	80	343
189	80	341
190	80	339
191	80	338
192	80	336
193	80	334
194	80	332
195	80	330
196	80	329
197	80	327
198	80	325
199	80	323
200	81	322
201	81	320
202	81	318
203	81	317
204	81	315
205	81	314
206	81	312
207	82	312
208	82	311
209	82	309
210	82	308
211	82	307
212	82	306
213	82	304
214	83	303
215	83	301
216	83	300
217	83	298
218	83	297
219	83	295
220	83	294
221	83	293
222	83	291
223	83	290
224	83	289
225	83	287
226	84	286
227	84	284
228	84	283
229	84	282
230	84	280
231	84	279
232	84	278
233	84	277
234	84	275
